,Unnamed: 0,device,event_id,channel,timestamp_tz,active_power,active_power_delta,apparent_power,coil_reversed,complete,current,energy,energy_delta,evt_type,firmware,hz,phase_shift,reactive_power,reactive_power_delta,timestamp,voltage,wifi_strength,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,harmonic_img_1,harmonic_img_2,harmonic_img_3,harmonic_img_4,harmonic_img_5,harmonic_img_6,harmonic_img_7,harmonic_img_8,harmonic_img_9,harmonic_real_1,harmonic_real_2,harmonic_real_3,harmonic_real_4,harmonic_real_5,harmonic_real_6,harmonic_real_7,harmonic_real_8,harmonic_real_9,hour
994,873,7,119131,1,2020-06-18 10:48:29.000000,5,0.0,,,True,0.062,1320705.0,0,1,89,50.0,-53.0,-6,-881,2020-06-18 10:48:29.000000,240.773,54,,0.792,0.823,0.887,1.052,1.057,1.122,1.148,1.1740000000000002,1.1909999999999998,36,6,0,0,0,0,0,0,0,-18,-6,-9,0,0,0,0,0,0,10
826,561,7,118819,1,2020-06-18 10:03:48.000000,161,-17.0,889.0,,False,3.735,1320160.0,0,2,89,50.0,77.3,734,279,2020-06-18 10:03:48.000000,238.166,59,,3.417,3.4930000000000003,3.5260000000000002,3.6910000000000003,3.5469999999999997,3.42,3.3339999999999996,3.04,2.9530000000000003,-4573,-14,1126,28,74,-1,123,-14,8,-1047,-42,800,19,28,-14,160,3,-23,10
700,345,7,114249,1,2020-06-15 08:55:10.000000,5,-249.0,15.0,,True,0.064,1320112.0,0,2,89,50.0,-54.8,-7,-912,2020-06-15 08:55:10.000000,241.643,53,2.958,3.115,3.214,3.557,3.534,0.061,0.064,,0.067,0.064,39,11,0,-3,-1,0,0,0,0,-26,-11,-14,0,-1,0,0,0,1,8
57,1,7,113905,1,2020-06-15 08:05:16.000000,98,92.0,581.0,,False,2.362,1319562.0,0,1,89,50.0,75.9,401,408,2020-06-15 08:05:16.000000,245.989,50,1.445,1.534,1.555,1.626,1.7269999999999999,1.798,1.874,1.9140000000000001,1.989,2.082,-3273,1,661,-14,56,9,19,3,66,-1171,-1,914,24,156,-18,69,3,-57,8
421,932,7,119190,1,2020-06-18 10:58:35.000000,256,251.0,1068.0,,False,4.405,1320718.0,0,1,89,50.0,66.4,595,-405,2020-06-18 10:58:35.000000,242.512,51,4.913,4.453,3.9960000000000004,3.73,3.762,4.266,4.37,4.013999999999999,4.136,4.065,-6080,24,1588,-6,-80,8,135,13,29,-1262,-11,1004,-3,-191,-3,207,-1,90,10
197,522,7,118780,1,2020-06-18 09:58:53.000000,126,121.0,664.0,,False,2.8110000000000004,1320152.0,0,1,89,50.0,74.8,471,479,2020-06-18 09:58:53.000000,236.42700000000002,61,2.532,2.417,2.653,2.8160000000000003,2.8289999999999997,3.1510000000000002,2.839,2.7760000000000002,2.989,2.714,-3903,-67,1080,-29,130,19,92,14,-9,-457,-31,313,0,-33,-36,-9,11,-11,9
267,947,7,119205,1,2020-06-18 11:00:53.000000,5,-363.0,15.0,,True,0.062,1320723.0,0,2,89,50.0,-55.1,-7,-682,2020-06-18 11:00:53.000000,243.38099999999997,51,4.303,4.075,3.946,4.075,3.7239999999999998,3.9560000000000004,4.177,4.306,4.785,4.3839999999999995,39,9,0,-3,0,0,0,0,0,-24,-9,-13,0,-1,0,0,0,0,11
309,418,7,114322,1,2020-06-15 09:07:11.000000,160,132.0,786.0,,False,3.2760000000000002,1320129.0,1,1,89,50.0,68.2,401,365,2020-06-15 09:07:11.000000,239.90400000000002,50,2.958,3.293,3.1630000000000003,2.935,2.8139999999999996,2.785,2.559,2.74,2.793,,-4158,-13,813,0,118,-16,41,3,6,-1265,-21,861,-16,67,34,146,-18,-11,9
237,459,7,114363,1,2020-06-15 09:14:12.000000,284,-39.0,413.0,,True,1.706,1320139.0,4,5,89,50.0,45.0,284,-40,2020-06-15 09:14:12.000000,242.512,54,1.706,1.706,1.706,1.706,1.706,1.706,1.706,1.706,1.706,1.706,-1592,16,-549,-9,-148,-6,11,-6,-9,-1793,-18,211,-1,-84,-6,-66,0,-31,9
493,166,7,114070,1,2020-06-15 08:26:27.000000,2332,203.0,,,False,10.63,1320061.0,9,1,89,50.0,16.8,710,716,2020-06-15 08:26:27.000000,237.297,52,9.937000000000001,10.046,10.158999999999999,9.883,10.222999999999999,10.002,10.33,10.342,10.479000000000001,10.502,-6296,0,1316,4,-67,8,206,4,26,-14003,-11,1093,-8,184,-13,384,0,112,8
970,189,7,114093,1,2020-06-15 08:29:56.000000,5,-165.0,15.0,,True,,1320076.0,0,2,89,50.0,-53.4,-7,-395,2020-06-15 08:29:56.000000,244.25,52,3.202,3.28,3.45,0.15,0.125,0.107,0.08199999999999999,0.079,0.064,0.057,34,11,0,-1,0,0,0,0,0,-24,-8,-9,-1,-3,0,0,0,0,8
495,403,7,114307,1,2020-06-15 09:04:51.000000,4,-244.0,14.0,,True,0.061,1320125.0,0,2,89,50.0,-56.9,-7,-899,2020-06-15 09:04:51.000000,242.512,50,0.057,0.059000000000000004,0.061,0.062,0.059000000000000004,0.064,0.057,0.064,0.057,0.062,37,9,0,-1,0,0,0,0,0,-18,-8,-9,0,0,0,0,0,0,9
